fname,aff/tps/homo,t1(A11/H11),t2(A12/H12),t3(A13/H13),t4(A21/H21),t5(A22/H22),t6(A23/H23),t7(H31),t8(H32),t9(H33),t10,t11,t12,t13,t14,t15,t16,t17,t18
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20240124_150512.dng,2,0.9247900138844288,-0.7772114466240513,168.050735004049,0.11022779439821884,0.17509641181005087,132.17562602746725,0.0006299934438565322,-0.0016874114089999244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20240124_144905.dng,2,0.3654334178333569,-0.30084706799478506,193.44901413110364,0.03743920406981696,0.4997050149503621,6.406455389350952,-0.0006435211148548866,-0.000488359508948532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20250201_112138.dng,2,0.4788871423113855,0.7633060743125082,-80.75471737822521,-0.3310831757636144,1.5202907431031565,20.704610209212532,-0.0016338414416981301,0.0021212552909968454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20250201_112905.dng,2,0.5296453562863744,0.1837697252428532,11.406163145954995,-0.13467015999210988,0.7070884939277757,69.06876704227649,-0.000592167942442234,-9.472496906377804e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20240117_183829.dng,2,2.4410461101602707,0.04436750154078417,-347.18105667892405,1.2945138129404912,1.8521551914391183,-514.5435133372382,0.0017281501498261822,9.399894394235556e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20250201_105303.dng,2,-17.202995309262388,-0.6696942173781266,3616.569399719272,-6.9341438912283895,-6.526112624886467,2428.579638345315,-0.024318211307312217,0.0019885503536730296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20240124_145349.dng,2,0.3662229556050845,0.05807331085544569,34.07625593617495,-0.38542580237209,0.497035862854533,168.4823119750003,-0.0010226034946847738,0.00010351092603302198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20240124_150216.dng,2,0.14865732183200805,-0.03863301841582528,225.3891969603603,-0.09243427808585183,0.6216411651947762,65.73300472376327,-0.0007658999110015633,9.841172040803193e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20240124_144634.dng,2,-0.06115894636069358,0.285845868759566,165.03033070776138,-0.5083381200178236,0.8187453673425291,167.7816691784873,-0.0015316442498175516,0.0007165334925736019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20240124_145332.dng,2,2.0376319150968323,-0.5579253515746216,-146.29759329561233,0.3732555571472936,0.7471583040851992,-28.635874937326808,0.0016323000978917582,-0.0014244293627486036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mnt/ssd2tb/boat/thesis/s21fe_dataset/raw/well-lit/20240124_145506.dng,2,0.8453593696282745,-0.25508088257381983,46.82145453452997,-0.04410065386964697,1.1998580612214331,-63.53963771816642,-0.0002681483039108716,-7.923037640059958e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
