obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
ll_moss2,1,2,3000.0,4000.0,1.512138273588485,-0.014587855187060546,-452.6352271621425,0.1668330784262547,1.2924599793818659,-356.7581903191685,0.00014202169531697315,3.158090255934308e-06,1.0
ll_stone,1,2,3000.0,4000.0,1.3571993501888224,-0.010495034675559924,-266.36476155043067,0.15318379561690953,1.2284809977949203,-380.97104095770743,9.774084027996817e-05,4.825768442424297e-06,1.0
ll_heartbeat,1,2,3000.0,4000.0,1.3877770136545593,-0.012287634991322792,-394.9723258476161,0.10779764576182009,1.2486212823536085,-343.1383097268678,8.769350286145116e-05,-7.437685786180723e-07,1.0
ll_moss,1,2,3000.0,4000.0,1.4239648929747208,0.002793369043085192,-384.21024014559447,0.13409125943194455,1.262906621998077,-372.1165018292671,0.00010743325195213225,1.1015883969431606e-05,1.0
ll_pavement,1,2,3000.0,4000.0,1.4739530862765964,-0.017894329641559903,-467.28188496046823,0.22430713052677329,1.241113093356222,-470.16364374406373,0.00013638119178194504,-1.7153495921324917e-05,1.0
ll_ais,1,2,3000.0,4000.0,1.2655473289827628,-0.009205402128560386,-139.8659402385363,0.12458394970450404,1.1516075139165447,-250.242261489933,7.200836354428793e-05,-1.182468094211425e-06,1.0
ll_professor,1,2,3000.0,4000.0,1.3173303038911301,-0.014146339413028213,-214.08307316260047,0.1574221029410758,1.2053399911609755,-412.3738454897841,8.622423516299165e-05,8.227905877702843e-06,1.0
ll_cement,1,2,3000.0,4000.0,1.3544588194090466,-0.012982669165698653,-185.73745375361148,0.14647892693320813,1.222670753767426,-347.67981514618145,9.998477158451122e-05,-1.1542845392079297e-06,1.0
ll_dragon,1,2,3000.0,4000.0,1.3145142006066304,0.0025244483711746005,-356.18439938275634,0.0856333263595256,1.1807972768583717,-212.79635775637848,7.58734221352723e-05,3.1822383628676737e-06,0.9999999999999999
ll_mongkut,1,2,3000.0,4000.0,1.2931851402763388,-0.0033531758691323368,-225.0483745349008,0.09972182370640095,1.1698394815660267,-258.3561834391434,7.199836349717845e-05,-2.341870599775875e-06,1.0
ll_thaicult,1,2,3000.0,4000.0,1.274885801529769,-0.010310381043112573,-223.04628198509974,0.09398816539814504,1.1584894775725139,-223.98132177851647,7.082290149861233e-05,1.6761379144344644e-06,1.0
ll_taladnoi,1,2,3000.0,4000.0,1.320189466392855,0.0008751942226416159,-328.22154037501275,0.09186647492901714,1.2128446300512026,-273.2751663980299,6.998804800578081e-05,5.603777787051139e-06,1.0
ll_melon,1,2,3000.0,4000.0,1.2543876856835119,-0.020499447743273672,-154.99704272294497,0.11578467525334153,1.13670645148947,-230.15484774365854,7.308548826067196e-05,-1.6661288506360805e-06,1.0
