obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
ll_moss2,1,3,3000.0,4000.0,1.9718989659705093,-0.014763735977726657,-657.7516097911048,0.34843781606584645,1.6402446498714542,-681.6173802334033,0.00031581506965942043,4.318606749712017e-06,1.0
ll_stone,1,3,3000.0,4000.0,1.8904230750349527,0.014196509730821887,-710.4271107790014,0.3707413864324342,1.6427865331369653,-852.2628755975735,0.0002675039921406913,4.4157958040696335e-06,0.9963486957596691
ll_heartbeat,1,3,3000.0,4000.0,1.9609471970200698,-0.010354811177590623,-876.8134761316794,0.2901398991748753,1.6924765314220285,-871.9039526362933,0.00023809612996379223,8.465595962441656e-06,1.0
ll_moss,1,3,3000.0,4000.0,1.790969622246826,-0.002559570704124533,-528.9032393122079,0.29910895164930856,1.5209892946822503,-656.5329495025705,0.00025113171514994277,1.3468313284294932e-05,1.0
ll_pavement,1,3,3000.0,4000.0,2.0352038111835205,-0.0723586057982344,-824.0856850508367,0.6278239203425479,1.6352296914755942,-1317.208874821971,0.00034051428142741207,-4.225557473604265e-05,1.0
ll_ais,1,3,3000.0,4000.0,1.6025830656103328,0.0069391758406714835,-344.1825099686243,0.29277930088255477,1.3880713390381412,-643.420651036638,0.00017738774029759874,9.890755602706684e-07,0.9970594304826806
ll_professor,1,3,3000.0,4000.0,1.6736127027268208,0.027496267526185364,-409.42964596838004,0.28780755689832466,1.4936735865130186,-823.1410442124261,0.0001892479816715493,2.181366584698351e-05,1.0
ll_cement,1,3,3000.0,4000.0,1.9748462217200025,0.04144954596236841,-581.1815986501731,0.3893788119489197,1.7535594687684373,-1094.0052286890914,0.0002983771118080528,2.0497598924107226e-05,0.991779391887575
ll_dragon,1,3,3000.0,4000.0,1.8471218776985692,0.030469682871062505,-883.2580579632516,0.21707447887918468,1.553293946284456,-588.9407431513198,0.00020797794085356244,1.1854728458991228e-05,1.0
ll_mongkut,1,3,3000.0,4000.0,1.6166546863528113,0.0036047922838228674,-366.7939275751401,0.22514888485993081,1.3964842348817799,-611.8536823841732,0.0001654579068440646,2.026921030597687e-06,1.0
ll_thaicult,1,3,3000.0,4000.0,1.7762839472578966,-0.010898650060869111,-742.2753595180586,0.26330649729199007,1.5134373523143334,-649.3617313508513,0.00020855341312007032,4.574805608996938e-06,1.0
ll_taladnoi,1,3,3000.0,4000.0,1.7480183216572387,0.016482465255463447,-708.122203694072,0.22270052302622645,1.5161579993043366,-626.3371781036219,0.00018970641905354752,9.490418690553218e-06,0.9999999999999999
ll_melon,1,3,3000.0,4000.0,1.602284921431421,-0.03790566467702065,-404.3383899409763,0.2932369064827405,1.3691785908292429,-572.5309388576107,0.0001938093924793971,-6.7967199166904304e-06,1.0
ll_carforcat,1,3,3000.0,4000.0,1.8445984764088932,-0.002037845878328065,-833.0762722995908,0.2532570565376748,1.5779053564457766,-650.6506955603098,0.00021517431699331958,4.839950858792313e-06,1.0044177337631526
ll_seanema,1,3,3000.0,4000.0,1.9805642628973206,0.01276284055092696,-803.857413267849,0.40575179132576095,1.675665640650606,-980.5932345381447,0.0002832551599835358,5.672770807373833e-06,0.9975962543491641
ll_robotcat,1,3,3000.0,4000.0,1.764174255216832,-0.04090599659663854,-520.0201089817159,0.33395946641533997,1.4703385762498185,-688.2311884973105,0.00023075053406238088,-4.554411025986588e-06,1.0
ll_reddoor,1,3,3000.0,4000.0,1.9321313570228413,0.03978820904147696,-866.5238855996845,0.2819862569708918,1.667961044491794,-842.0583004884431,0.0002450690303927243,1.3961573466616122e-05,1.0
ll_granite,1,3,3000.0,4000.0,1.5838614556025157,-0.019525509585641265,-455.6234620680582,0.2874487185988271,1.3542224355003358,-603.3973314614477,0.000182905078979301,-3.5149421036271736e-06,0.9952098703296691
ll_taladcat,1,3,3000.0,4000.0,1.8806284261032098,0.0438992170285778,-904.4735315561168,0.233677309237621,1.6332184314899136,-724.4819708220149,0.00022249359382705793,1.3905072001726247e-05,1.0
ll_taladlove,1,3,3000.0,4000.0,1.7066446729644673,-0.015548673599808415,-624.9012393988371,0.22989984099158034,1.4132190221093872,-477.190603302499,0.00019459311014190792,-7.92247007204567e-06,1.0
ll_noodle,1,3,3000.0,4000.0,1.7387866235603961,-0.006455788395984766,-625.195951714257,0.2043035041240146,1.501426729733233,-531.0881373716419,0.00019652163705153653,5.303767654511184e-06,1.0
ll_chinesegirl,1,3,3000.0,4000.0,1.879428992750254,-0.0032361257150330326,-733.8118287514326,0.28477446797587996,1.5748630116186133,-627.6390900650989,0.0002483150579225358,1.7284173826628848e-06,1.0
ll_brick,1,3,3000.0,4000.0,1.9183761737065752,0.013740556820603392,-74.07376981727737,0.463097655406739,1.6098373741888432,-776.2725218084444,0.0003429391817733481,1.2497902841584692e-05,1.006465483765495
ll_cats,1,3,3000.0,4000.0,1.938043556370103,0.028713510936410284,-1017.9504059826876,0.24330652067702327,1.6794891662337594,-875.8903443922947,0.00021131566970940347,1.1395390119245839e-05,1.0002722940810433
ll_nobag,1,3,3000.0,4000.0,1.700765156078568,-0.013780396567262926,-507.9271558867922,0.4503281223519462,1.4464661935600607,-974.0779862080395,0.0002079366223188878,-1.0660470257285482e-05,1.0119999659952337
ll_starrynight,1,3,3000.0,4000.0,1.779615083108633,-0.03821851827160201,-497.8982772276749,0.3233619666392903,1.5138072610248867,-763.0800182281534,0.0002278868077583265,-4.5772950594992744e-06,1.0
ll_chinesnewyear,1,3,3000.0,4000.0,1.9720665281539158,0.01949822224865316,-957.9559316683059,0.27814408695574044,1.6625966941786874,-812.482731469501,0.0002373095335516432,1.3797106200735921e-05,1.0
