obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
sl_agrirobot,1,5,3000.0,4000.0,0.21101073351329572,-0.17289992777537466,625.0510687694717,-0.3754598635797308,0.5158181928448935,871.0888178563415,-0.0001364641934977677,-9.047668797655153e-05,1.0238759066040148
sl_innovation,1,5,3000.0,4000.0,-0.014138101070918604,-0.1291716521048969,1118.665550635556,-0.28524792564642776,0.4258034091723946,825.0181202365735,-0.00013957800627499047,-5.715056372149929e-05,1.0407837953234793
sl_yak,1,5,3000.0,4000.0,0.011259289386818753,-0.08800920336104771,917.7804293474139,-0.2621619545922858,0.4463675642724836,677.9425623585224,-0.00013707309540927657,-5.9426949247613086e-05,0.997598112627445
sl_carnival,1,5,3000.0,4000.0,0.011034061664273046,-0.11782679609076814,1209.8511813463347,-0.3200545923501684,0.4759984192214869,833.0370309439427,-0.00016387146689101942,-6.813281891361897e-05,1.0920520850306377
sl_tewada,1,5,3000.0,4000.0,0.10545717756074356,-0.16393763112076284,1025.2984746300092,-0.3637255130108633,0.5414450850142954,855.6119324350623,-0.00016334043966587976,-7.739825353178672e-05,1.158375646966168
sl_mbk,1,5,3000.0,4000.0,0.11400741705081431,-0.14577240223464663,463.8410535017109,-0.3809667312871575,0.6942761831719328,540.3378829340471,-0.0001703303137941506,-4.0759767339221874e-05,0.9931022580198777
sl_thaidance,1,5,3000.0,4000.0,0.07998337304979095,-0.1095523811618844,998.6086489025649,-0.3078712290565823,0.4260407116176678,1155.2842236443353,-0.00012130782049317549,-6.0141524593187445e-05,1.1045748368262573
sl_grafiti,1,5,3000.0,4000.0,0.050388274638429556,-0.06242241529117704,358.13389962765314,-0.4512053333855699,0.5393396312677811,904.9151342541849,-0.0001720999589688819,-6.933589674629812e-05,0.9757520241689792
sl_newspaper,1,5,3000.0,4000.0,0.038181333067526926,-0.05488857131068322,450.6611338676537,-0.47148806537046506,0.6624506282095406,603.8953887885351,-0.0001843866064397463,-5.2983162111181274e-05,0.9957789168007601
sl_sun,1,5,3000.0,4000.0,-0.10625758605477578,0.009736999289867486,1182.131388497673,-0.5139572367441982,0.3777898502699256,1525.8097158536355,-0.00015060917165382045,-8.257207364553045e-05,0.9767066564595034
sl_mario,1,5,3000.0,4000.0,0.07013517761970005,-0.14128364493371143,392.71106425045457,-0.4584100305196819,0.6035873658988901,1058.6004220501743,-0.00017766567736282693,-6.678532286878033e-05,0.9900714976382333
sl_skytrain,1,5,3000.0,4000.0,-0.04323509546164361,-0.11340658567157805,1255.06143412365,-0.3325645947322922,0.4049442572221405,1017.2200452815554,-0.00014408371827328269,-6.875448227223613e-05,1.0325050251291408
sl_giantrobot,1,5,3000.0,4000.0,0.005798472745862769,-0.10636132960092079,1115.2909100289826,-0.23533285168623796,0.4042438057444263,748.553132510006,-0.0001190534851704401,-5.841201785436409e-05,1.0338388788844657
sl_nua,1,5,3000.0,4000.0,0.12865181232451792,-0.17954301920538693,693.2221463338375,-0.42048471490818123,0.556276397634218,1035.7293878179469,-0.00016574446174104848,-2.976305593035477e-05,0.975430617418381
sl_sonic,1,5,3000.0,4000.0,0.07142294984061166,-0.07422086895954833,951.7753188331567,-0.3578941920398582,0.5385920318052301,661.7938809752839,-0.00015096593873773983,-4.458561776560945e-05,1.0004918826220732
sl_chineseposter,1,5,3000.0,4000.0,-0.028112867383691873,-0.11030328921121281,1259.2475802317574,-0.35758609345108444,0.4455944916345154,764.6443755700998,-0.00014775728646595508,-6.697392378449735e-05,0.9863907908146173
sl_thaimario,1,5,3000.0,4000.0,0.032905903453662934,-0.17959972241082062,1038.7493122032772,-0.23884912370083194,0.3970185045533233,669.2270182464971,-0.0001279485418626083,-6.623881689204393e-05,0.9951692105805346
sl_mangkorn,1,5,3000.0,4000.0,0.08069915037590597,-0.14205710693939078,822.033221188976,-0.2798325551852672,0.3488135793682682,1188.5781815902765,-0.0001129676875836375,-6.255262608933868e-05,0.982727472223867
